program;input;exectime
IntReverse;1;1000;461074
IntReverse;12;1000;751075
IntReverse;123;1000;1041075
IntReverse;1234;1000;1331075
IntReverse;12345;1000;1621075
PrimeSieve;10;1000;3054075
PrimeSieve;20;1000;5747075
PrimeSieve;50;1000;15346075
PrimeSieve;100;1000;31640075
PrimeSieve;150;1000;48376075
PrimeSieve;200;1000;65772075
TowersOfHanoi;1;1000;226074
TowersOfHanoi;2;1000;590075
TowersOfHanoi;3;1000;1314075
TowersOfHanoi;4;1000;2762075
TowersOfHanoi;5;1000;5658075
TowersOfHanoi;6;1000;11454075
TowersOfHanoi;7;1000;23042075
TowersOfHanoi;8;1000;46218075
TowersOfHanoi;9;1000;92570075
TowersOfHanoi;10;1000;185278075
RecursiveMath;1;1000;239074
RecursiveMath;2;1000;2062075
RecursiveMath;3;1000;4757075
RecursiveMath;4;1000;9984075
RecursiveMath;5;1000;15026075
RecursiveMath;6;1000;22510075
RecursiveMath;7;1000;29985075
RecursiveMath;8;1000;42936075
RecursiveMath;9;1000;52958075
RecursiveMath;10;1000;65997075
QuickSort;10;1000;15011075
QuickSort;20;1000;30827075
QuickSort;50;1000;91312074
QuickSort;100;1000;220021075
IntReverse;1;2000;922075
IntReverse;12;2000;1502075
IntReverse;123;2000;2082075
IntReverse;1234;2000;2662075
IntReverse;12345;2000;3242075
PrimeSieve;10;2000;6108075
PrimeSieve;20;2000;11494075
PrimeSieve;50;2000;30692075
PrimeSieve;100;2000;63280075
PrimeSieve;150;2000;96752075
PrimeSieve;200;2000;131544075
TowersOfHanoi;1;2000;452074
TowersOfHanoi;2;2000;1180075
TowersOfHanoi;3;2000;2628075
TowersOfHanoi;4;2000;5524075
TowersOfHanoi;5;2000;11316075
TowersOfHanoi;6;2000;22908075
TowersOfHanoi;7;2000;46084075
TowersOfHanoi;8;2000;92436075
TowersOfHanoi;9;2000;185140075
TowersOfHanoi;10;2000;370556075
RecursiveMath;1;2000;478074
RecursiveMath;2;2000;4124075
RecursiveMath;3;2000;9514075
RecursiveMath;4;2000;19968075
RecursiveMath;5;2000;30052075
RecursiveMath;6;2000;45020075
RecursiveMath;7;2000;59970075
RecursiveMath;8;2000;85872075
RecursiveMath;9;2000;105916075
RecursiveMath;10;2000;131994075
QuickSort;10;2000;22182074
QuickSort;20;2000;77196074
QuickSort;50;2000;194662073
QuickSort;100;2000;463930075
IntReverse;1;3000;1383075
IntReverse;12;3000;2253075
IntReverse;123;3000;3123075
IntReverse;1234;3000;3993075
IntReverse;12345;3000;4863075
PrimeSieve;10;3000;9162074
PrimeSieve;20;3000;17241075
PrimeSieve;50;3000;46038075
PrimeSieve;100;3000;94920075
PrimeSieve;150;3000;145128075
PrimeSieve;200;3000;197316075
TowersOfHanoi;1;3000;678076
TowersOfHanoi;2;3000;1770075
TowersOfHanoi;3;3000;3942075
TowersOfHanoi;4;3000;8286075
TowersOfHanoi;5;3000;16974075
TowersOfHanoi;6;3000;34362075
TowersOfHanoi;7;3000;69126075
TowersOfHanoi;8;3000;138654075
TowersOfHanoi;9;3000;277710075
TowersOfHanoi;10;3000;555834075
RecursiveMath;1;3000;717075
RecursiveMath;2;3000;6186075
RecursiveMath;3;3000;14271075
RecursiveMath;4;3000;29952075
RecursiveMath;5;3000;45078075
RecursiveMath;6;3000;67530075
RecursiveMath;7;3000;89955075
RecursiveMath;8;3000;128808075
RecursiveMath;9;3000;158874075
RecursiveMath;10;3000;197991075
QuickSort;10;3000;36483075
QuickSort;20;3000;79095073
QuickSort;50;3000;332712075
QuickSort;100;3000;776502075
IntReverse;1;4000;1844075
IntReverse;12;4000;3004075
IntReverse;123;4000;4164075
IntReverse;1234;4000;5324075
IntReverse;12345;4000;6484075
PrimeSieve;10;4000;12216075
PrimeSieve;20;4000;22988075
PrimeSieve;50;4000;61384075
PrimeSieve;100;4000;126560075
PrimeSieve;150;4000;193504075
PrimeSieve;200;4000;263088075
TowersOfHanoi;1;4000;904076
TowersOfHanoi;2;4000;2360075
TowersOfHanoi;3;4000;5256075
TowersOfHanoi;4;4000;11048075
TowersOfHanoi;5;4000;22632075
TowersOfHanoi;6;4000;45816075
TowersOfHanoi;7;4000;92168075
TowersOfHanoi;8;4000;184872075
TowersOfHanoi;9;4000;370280075
TowersOfHanoi;10;4000;741112075
RecursiveMath;1;4000;956073
RecursiveMath;2;4000;8248075
RecursiveMath;3;4000;19028075
RecursiveMath;4;4000;39936075
RecursiveMath;5;4000;60104075
RecursiveMath;6;4000;90040075
RecursiveMath;7;4000;119940075
RecursiveMath;8;4000;171744075
RecursiveMath;9;4000;211832075
RecursiveMath;10;4000;263988075
QuickSort;10;4000;48768076
QuickSort;20;4000;152876074
QuickSort;50;4000;408400073
QuickSort;100;4000;860180075
