program;input;exectime
Test;0;0;105096878.17
IntReverse;1;1000;105454470.75
IntReverse;12;1000;105690672.04
IntReverse;123;1000;105505506.1
IntReverse;1234;1000;105873051.61
IntReverse;12345;1000;104840718.81
PrimeSieve;10;1000;106300987.39
PrimeSieve;20;1000;106544872.15
PrimeSieve;50;1000;109153272.88
PrimeSieve;100;1000;113384495.03
PrimeSieve;150;1000;118220611.3
PrimeSieve;200;1000;122480176.22
TowersOfHanoi;1;1000;105268424.61
TowersOfHanoi;2;1000;105600633.81
TowersOfHanoi;3;1000;106740097.69
TowersOfHanoi;4;1000;108548072.95
TowersOfHanoi;5;1000;112719815.9
TowersOfHanoi;6;1000;120981528.37
TowersOfHanoi;7;1000;137202093.25
TowersOfHanoi;8;1000;169236917.27
TowersOfHanoi;9;1000;231374096.59
TowersOfHanoi;10;1000;362489682.39
RecursiveMath;1;1000;105104637.58
RecursiveMath;2;1000;108307632.26
RecursiveMath;3;1000;113634422.72
RecursiveMath;4;1000;122273065.09
RecursiveMath;5;1000;131342677.67
RecursiveMath;6;1000;144428605.78
RecursiveMath;7;1000;157547735.64
RecursiveMath;8;1000;180040904.15
RecursiveMath;9;1000;197274276.21
RecursiveMath;10;1000;220633504.98
QuickSort;10;1000;112339364.82
QuickSort;20;1000;119783312.76
QuickSort;50;1000;144562497.5
QuickSort;100;1000;198752538.23
IntReverse;1;2000;105183701.79
IntReverse;12;2000;105241556.2
IntReverse;123;2000;105460772.18
IntReverse;1234;2000;105817420.98
IntReverse;12345;2000;105678521.22
PrimeSieve;10;2000;106916604.43
PrimeSieve;20;2000;108630017.69
PrimeSieve;50;2000;113518109.29
PrimeSieve;100;2000;122317110.41
PrimeSieve;150;2000;131175349.37
PrimeSieve;200;2000;140049341.52
TowersOfHanoi;1;2000;105555926.06
TowersOfHanoi;2;2000;106515231.09
TowersOfHanoi;3;2000;108543559.2
TowersOfHanoi;4;2000;112593934.75
TowersOfHanoi;5;2000;120440164.52
TowersOfHanoi;6;2000;136696510.21
TowersOfHanoi;7;2000;170068506.88
TowersOfHanoi;8;2000;233380973.85
TowersOfHanoi;9;2000;358053636.15
TowersOfHanoi;10;2000;619581235.44
RecursiveMath;1;2000;105358082.96
RecursiveMath;2;2000;111904228.51
RecursiveMath;3;2000;121791025.87
RecursiveMath;4;2000;139476924.37
RecursiveMath;5;2000;157373917.91
RecursiveMath;6;2000;183512609.36
RecursiveMath;7;2000;210413919.89
RecursiveMath;8;2000;254733510.39
RecursiveMath;9;2000;289937684.71
RecursiveMath;10;2000;336352410.42
QuickSort;10;2000;115627848.95
QuickSort;20;2000;138385439.05
QuickSort;50;2000;190138515.39
QuickSort;100;2000;294581429.52
IntReverse;1;3000;105649006.49
IntReverse;12;3000;105476321.43
IntReverse;123;3000;105667036.55
IntReverse;1234;3000;105630617.44
IntReverse;12345;3000;106073629.79
PrimeSieve;10;3000;108119880.41
PrimeSieve;20;3000;110063084.79
PrimeSieve;50;3000;118241967.41
PrimeSieve;100;3000;131023047.77
PrimeSieve;150;3000;143883533.28
PrimeSieve;200;3000;157708121.28
TowersOfHanoi;1;3000;105571412.87
TowersOfHanoi;2;3000;107567333.6
TowersOfHanoi;3;3000;110086728.18
TowersOfHanoi;4;3000;116276441.27
TowersOfHanoi;5;3000;128294018.58
TowersOfHanoi;6;3000;152634943.77
TowersOfHanoi;7;3000;202873103.27
TowersOfHanoi;8;3000;297544026.26
TowersOfHanoi;9;3000;485055574.46
TowersOfHanoi;10;3000;877969919.27
RecursiveMath;1;3000;106061575.93
RecursiveMath;2;3000;115099610.84
RecursiveMath;3;3000;130213110.72
RecursiveMath;4;3000;156452184.74
RecursiveMath;5;3000;183855503.23
RecursiveMath;6;3000;222570840.37
RecursiveMath;7;3000;262985505.03
RecursiveMath;8;3000;329206957.45
RecursiveMath;9;3000;382186842.64
RecursiveMath;10;3000;451813038.26
QuickSort;10;3000;123117172.37
QuickSort;20;3000;144571591.82
QuickSort;50;3000;239814813.99
QuickSort;100;3000;408518179.28
IntReverse;1;4000;106364317.27
IntReverse;12;4000;106005262.49
IntReverse;123;4000;106121458.25
IntReverse;1234;4000;106307332.82
IntReverse;12345;4000;106692764.28
PrimeSieve;10;4000;108916628.09
PrimeSieve;20;4000;112046184.0
PrimeSieve;50;4000;122455385.85
PrimeSieve;100;4000;139719804.62
PrimeSieve;150;4000;157634606.8
PrimeSieve;200;4000;175290531.08
TowersOfHanoi;1;4000;105733118.91
TowersOfHanoi;2;4000;108323761.53
TowersOfHanoi;3;4000;111908159.08
TowersOfHanoi;4;4000;120493307.46
TowersOfHanoi;5;4000;135972181.76
TowersOfHanoi;6;4000;168901071.44
TowersOfHanoi;7;4000;235528531.06
TowersOfHanoi;8;4000;360859569.37
TowersOfHanoi;9;4000;611965762.99
TowersOfHanoi;10;4000;1136912844.62
RecursiveMath;1;4000;105970869.51
RecursiveMath;2;4000;118635113.09
RecursiveMath;3;4000;138997719.64
RecursiveMath;4;4000;173675605.84
RecursiveMath;5;4000;209967306.0
RecursiveMath;6;4000;261657356.84
RecursiveMath;7;4000;315594069.3
RecursiveMath;8;4000;404799855.81
RecursiveMath;9;4000;474873755.36
RecursiveMath;10;4000;567823127.41
QuickSort;10;4000;131727468.02
QuickSort;20;4000;169122901.46
QuickSort;50;4000;281281124.41
QuickSort;100;4000;463491607.69
IntReverse;1;5000;106362964.29
IntReverse;12;5000;106506315.71
IntReverse;123;5000;106293471.29
IntReverse;1234;5000;106419772.11
IntReverse;12345;5000;107524039.75
PrimeSieve;10;5000;110097301.01
PrimeSieve;20;5000;113787397.85
PrimeSieve;50;5000;127281690.31
PrimeSieve;100;5000;148626228.51
PrimeSieve;150;5000;170371259.91
PrimeSieve;200;5000;192688405.32
TowersOfHanoi;1;5000;106065340.85
TowersOfHanoi;2;5000;108592532.05
TowersOfHanoi;3;5000;113491731.49
TowersOfHanoi;4;5000;124170039.44
TowersOfHanoi;5;5000;143803432.03
TowersOfHanoi;6;5000;184666080.85
TowersOfHanoi;7;5000;268364903.06
TowersOfHanoi;8;5000;425654465.83
TowersOfHanoi;9;5000;737969422.01
TowersOfHanoi;10;5000;1394238917.42
RecursiveMath;1;5000;106094973.02
RecursiveMath;2;5000;122299299.23
RecursiveMath;3;5000;147696806.27
RecursiveMath;4;5000;191044613.8
RecursiveMath;5;5000;236437664.73
RecursiveMath;6;5000;301362708.63
RecursiveMath;7;5000;368236145.46
RecursiveMath;8;5000;479026614.09
RecursiveMath;9;5000;574210572.2
RecursiveMath;10;5000;683999681.01
QuickSort;10;5000;137921592.57
QuickSort;20;5000;189080051.7
QuickSort;50;5000;323426425.59
QuickSort;100;5000;555676339.06
