program;input;exectime
IntReverse;1;1000;49324.0
IntReverse;12;1000;71459.0
IntReverse;123;1000;100507.0
IntReverse;1234;1000;119606.0
IntReverse;12345;1000;141751.0
PrimeSieve;10;1000;382685.0
PrimeSieve;20;1000;629359.0
PrimeSieve;50;1000;1470191.0
PrimeSieve;100;1000;2845779.0
PrimeSieve;150;1000;4279776.0
PrimeSieve;200;1000;5696479.0
TowersOfHanoi;1;1000;31706.0
TowersOfHanoi;2;1000;98523.0
TowersOfHanoi;3;1000;238482.0
TowersOfHanoi;4;1000;505132.0
TowersOfHanoi;5;1000;1040797.0
TowersOfHanoi;6;1000;2070208.0
TowersOfHanoi;7;1000;4261288.0
TowersOfHanoi;8;1000;8341571.0
TowersOfHanoi;9;1000;16791210.0
TowersOfHanoi;10;1000;33475695.0
RecursiveMath;1;1000;60627.0
RecursiveMath;2;1000;601148.0
RecursiveMath;3;1000;1423472.0
RecursiveMath;4;1000;2908607.0
RecursiveMath;5;1000;4454835.0
RecursiveMath;6;1000;6400775.0
RecursiveMath;7;1000;8814677.0
RecursiveMath;8;1000;12234645.0
RecursiveMath;9;1000;15475653.0
RecursiveMath;10;1000;18412649.0
QuickSort;10;1000;2146455.0
QuickSort;20;1000;4408346.0
QuickSort;50;1000;12288413.0
QuickSort;100;1000;28376783.0
IntReverse;1;2000;96423.0
IntReverse;12;2000;140807.0
IntReverse;123;2000;198274.0
IntReverse;1234;2000;236527.0
IntReverse;12345;2000;275966.0
PrimeSieve;10;2000;760194.0
PrimeSieve;20;2000;1248090.0
PrimeSieve;50;2000;2927682.0
PrimeSieve;100;2000;5773942.0
PrimeSieve;150;2000;8618550.0
PrimeSieve;200;2000;11419097.0
TowersOfHanoi;1;2000;61645.0
TowersOfHanoi;2;2000;194034.0
TowersOfHanoi;3;2000;474707.0
TowersOfHanoi;4;2000;1008583.0
TowersOfHanoi;5;2000;2093449.0
TowersOfHanoi;6;2000;4131213.0
TowersOfHanoi;7;2000;8472511.0
TowersOfHanoi;8;2000;17057114.0
TowersOfHanoi;9;2000;33666187.0
TowersOfHanoi;10;2000;66682565.0
RecursiveMath;1;2000;121316.0
RecursiveMath;2;2000;1202816.0
RecursiveMath;3;2000;2856161.0
RecursiveMath;4;2000;5786386.0
RecursiveMath;5;2000;8980701.0
RecursiveMath;6;2000;12844755.0
RecursiveMath;7;2000;17600510.0
RecursiveMath;8;2000;24502051.0
RecursiveMath;9;2000;30709224.0
RecursiveMath;10;2000;36590658.0
QuickSort;10;2000;3298653.0
QuickSort;20;2000;10502593.0
QuickSort;50;2000;26218907.0
QuickSort;100;2000;59627370.0
IntReverse;1;3000;145457.0
IntReverse;12;3000;209585.0
IntReverse;123;3000;297751.0
IntReverse;1234;3000;355319.0
IntReverse;12345;3000;411662.0
PrimeSieve;10;3000;1150086.0
PrimeSieve;20;3000;1863401.0
PrimeSieve;50;3000;4366673.0
PrimeSieve;100;3000;8533474.0
PrimeSieve;150;3000;12795323.0
PrimeSieve;200;3000;17042846.0
TowersOfHanoi;1;3000;92273.0
TowersOfHanoi;2;3000;287552.0
TowersOfHanoi;3;3000;730164.0
TowersOfHanoi;4;3000;1510948.0
TowersOfHanoi;5;3000;3121331.0
TowersOfHanoi;6;3000;6183554.0
TowersOfHanoi;7;3000;12782058.0
TowersOfHanoi;8;3000;25187219.0
TowersOfHanoi;9;3000;51031889.0
TowersOfHanoi;10;3000;100750842.0
RecursiveMath;1;3000;182615.0
RecursiveMath;2;3000;1800703.0
RecursiveMath;3;3000;4238989.0
RecursiveMath;4;3000;8718525.0
RecursiveMath;5;3000;13495258.0
RecursiveMath;6;3000;19206130.0
RecursiveMath;7;3000;26265628.0
RecursiveMath;8;3000;36663422.0
RecursiveMath;9;3000;46363583.0
RecursiveMath;10;3000;54843859.0
QuickSort;10;3000;5444721.0
QuickSort;20;3000;11310398.0
QuickSort;50;3000;42544860.0
QuickSort;100;3000;96207854.0
IntReverse;1;4000;195300.0
IntReverse;12;4000;281168.0
IntReverse;123;4000;400819.0
IntReverse;1234;4000;473486.0
IntReverse;12345;4000;549101.0
PrimeSieve;10;4000;1520793.0
PrimeSieve;20;4000;2500785.0
PrimeSieve;50;4000;5812484.0
PrimeSieve;100;4000;11305144.0
PrimeSieve;150;4000;17016318.0
PrimeSieve;200;4000;22750549.0
TowersOfHanoi;1;4000;123809.0
TowersOfHanoi;2;4000;391040.0
TowersOfHanoi;3;4000;944648.0
TowersOfHanoi;4;4000;2014921.0
TowersOfHanoi;5;4000;4163149.0
TowersOfHanoi;6;4000;8212076.0
TowersOfHanoi;7;4000;16783974.0
TowersOfHanoi;8;4000;33686506.0
